🇨🇳央视频道🇨🇳,#genre#

CCTV-1综合频道,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1综合频道,http://z.b.bkpcp.top/m.php?id=cctv1$咪咕直播
CCTV-1综合频道,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-1综合频道,http://z.b.bkpcp.top/m.php?id=cctv1$IPV4
CCTV-1综合频道,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动|回看


CCTV-4中文国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4$咪咕直播
CCTV-4中文国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动|回看
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4$IPV4
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4


CCTV-13新闻频道,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV-13新闻频道,http://z.b.bkpcp.top/m.php?id=cctv13$咪咕直播
CCTV-13新闻频道,http://z.b.bkpcp.top/m.php?id=cctv13$IPV4
CCTV-13新闻频道,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-13新闻频道,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动|回看
CCTV-13新闻频道,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226011/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3


🇨🇳电影频道🇨🇳,#genre#


CCTV-6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-6电影,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3

超级电影,ttp://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EOKgJ-MarN4M0aStGnXjR0A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

动作电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226974/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBow_B3ta32lPIHmLzLPzVQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

黑莓电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226939/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkBVQL3MtyiM0GGQzuPjqAQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

精品大剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226970/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E3L0P9l_fI2y0M6HyVzY8Ag%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

中国功夫,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226988/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEWe2gbwg0iLJum2oZPyg5Q%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND



